title,deck,date,reviewer,score,url
"Ratchet & Clank Future: Quest for Booty","Ratchet & Clank: Quest for Booty is a decent diversion for the price, but will make you long for the next full installment in the series. ","2008-08-25 17:00:00","Vinny",3,"http://www.giantbomb.com/reviews/ratchet-clank-future-quest-for-booty-review/1900-49/"
"Viva Piñata: Trouble in Paradise","There are just enough new features--and just enough delightfully nutty new pinatas--to warrant a second trip into the garden.","2008-09-03 18:00:00","Brad",4,"http://www.giantbomb.com/reviews/viva-pinata-trouble-in-paradise-review/1900-50/"
"Castle Crashers","Technical hiccups can't keep The Behemoth from sieging my heart!","2008-09-03 16:00:00","Ryan",4,"http://www.giantbomb.com/reviews/castle-crashers-review/1900-51/"
"The Last Guy","The Last Guy is an interesting game, but there's not enough to it to make it a good game.","2008-09-03 22:00:00","Jeff",3,"http://www.giantbomb.com/reviews/the-last-guy-review/1900-52/"
"Mercenaries 2: World in Flames","The awesome destructive potential of Mercs 2 is hamstrung by a litany of technical shortcomings and clunky design.","2008-09-05 18:00:00","Ryan",3,"http://www.giantbomb.com/reviews/mercenaries-2-world-in-flames-review/1900-53/"
"Spore","Spore spreads itself a little thin, but the epoch-spanning gameplay and communal creature creation culminate in a one-of-a-kind experience.","2008-09-08 19:00:00","Brad",4,"http://www.giantbomb.com/reviews/spore-review/1900-54/"
"TNA iMPACT!","TNA iMPACT! has some great ideas, but a wide array of issues big and small prevent it from achieving greatness.","2008-09-12 16:00:00","Jeff",3,"http://www.giantbomb.com/reviews/tna-impact-review/1900-55/"
"Rock Band 2","Rock Band 2 offers a great package of new music and a bunch of great enhancements to the core game that make it a terrific purchase whether you're already well-versed in the genre or looking to get started.","2008-09-13 23:00:00","Jeff",5,"http://www.giantbomb.com/reviews/rock-band-2-review/1900-56/"
"Star Wars: The Force Unleashed","The Force Unleashed comes with a lengthy list of caveats, but if you can suffer through some occasionally frustrating control and difficulty issues, the underlying game is a good one.","2008-09-15 16:00:00","Jeff",3,"http://www.giantbomb.com/reviews/star-wars-the-force-unleashed-review/1900-57/"
"Strong Bad's Cool Game for Attractive People Episode 2: Strong Badia The Free","Strong Bad goes all Che Guevara in Episode 2, with amusing results.","2008-09-18 10:00:00","Ryan",4,"http://www.giantbomb.com/reviews/strong-bads-cool-game-for-attractive-people-episod/1900-58/"
"Samurai Shodown II","Even though the 360's lackluster D-pad does its best to hold it back, Samurai Shodown II still shines on Xbox Live Arcade.","2008-09-23 16:00:00","Jeff",4,"http://www.giantbomb.com/reviews/samurai-shodown-ii-review/1900-59/"
"Mario Super Sluggers","Namco Bandai strikes out with this halfhearted baseball game.","2008-09-26 11:00:00","Ryan",2,"http://www.giantbomb.com/reviews/mario-super-sluggers-review/1900-60/"
"Pure","Pure looks great and plays well, providing enough tricks to keep things moving and enough tracks to keep things varied.","2008-09-26 16:00:00","Jeff",4,"http://www.giantbomb.com/reviews/pure-review/1900-61/"
"WipEout HD","While it feels more like fond memories than the near future, Wipeout HD still delivers plenty of high-speed, techno-laced thrills.","2008-09-29 17:00:00","Ryan",4,"http://www.giantbomb.com/reviews/wipeout-hd-review/1900-62/"
"Brothers in Arms: Hell's Highway","A unique blend of battlefield tactics and first-person shooting make Hell's Highway more interesting than its familiar WWII trappings let on.","2008-09-30 20:00:00","Ryan",4,"http://www.giantbomb.com/reviews/brothers-in-arms-hells-highway-review/1900-63/"
"Crysis Warhead","Crysis Warhead trades the length of the original for a bit more intensity and a lot more focus.","2008-09-30 23:00:00","Jeff",4,"http://www.giantbomb.com/reviews/crysis-warhead-review/1900-64/"
"Fracture","Fracture offers a future where our best hope for survival relies on making enemies walk uphill.","2008-10-15 19:00:00","Vinny",2,"http://www.giantbomb.com/reviews/fracture-review/1900-65/"
"Wario Land: Shake It!","This amusing trifle of a platformer benefits from its vivid presentation.","2008-10-16 20:00:00","Ryan",3,"http://www.giantbomb.com/reviews/wario-land-shake-it-review/1900-66/"
"Age of Booty","Age of Booty's multiplayer is great fun that keeps you coming back, but you'll need a solid crew who wants to work together if you want to dominate the opposition.","2008-10-17 18:00:00","Jeff",4,"http://www.giantbomb.com/reviews/age-of-booty-review/1900-67/"
"Dead Space","The game is much greater than the sum of its familiar parts. It's also one of the best shooters so far this year.","2008-10-20 18:00:00","Brad",5,"http://www.giantbomb.com/reviews/dead-space-review/1900-68/"
"Fable II","Fable II keeps you thoroughly entertained whether you're saving the world or unraveling it.","2008-10-21 16:00:00","Vinny",4,"http://www.giantbomb.com/reviews/fable-ii-review/1900-69/"
"Saints Row 2","Saints Row 2 ups the ante for the volume of sheer absurdity in an open-world action game.","2008-10-22 15:00:00","Ryan",4,"http://www.giantbomb.com/reviews/saints-row-2-review/1900-70/"
"Fallout 3","Fallout 3 has a few snags, but the quality of the overall adventure makes looking past its flaws worthwhile.","2008-10-27 21:00:00","Jeff",4,"http://www.giantbomb.com/reviews/fallout-3-review/1900-71/"
"Rock Revolution","This poor clone of today's music games is especially sad when you consider Konami's rich history with the genre.","2008-10-29 16:00:00","Jeff",1,"http://www.giantbomb.com/reviews/rock-revolution-review/1900-72/"
"Midnight Club: Los Angeles","A suffocating level of difficulty limits the appeal of Rockstar's latest street racer.","2008-10-31 11:00:00","Ryan",3,"http://www.giantbomb.com/reviews/midnight-club-los-angeles-review/1900-73/"
"Gears of War 2","Gears of War 2 intelligently builds on the successes of the first game, resulting in an immensely appealing sequel that is better in almost every way.","2008-11-03 06:00:00","Jeff",5,"http://www.giantbomb.com/reviews/gears-of-war-2-review/1900-74/"
"Guitar Hero World Tour","Guitar Hero makes an interesting, if not always successful, transition to the full-band format.","2008-11-02 20:00:00","Ryan",4,"http://www.giantbomb.com/reviews/guitar-hero-world-tour-review/1900-75/"
"Far Cry 2","This sequel trades mutant-infested islands for a war-torn African savanna with mostly positive results.","2008-11-03 17:00:00","Brad",4,"http://www.giantbomb.com/reviews/far-cry-2-review/1900-76/"
"LittleBigPlanet","Sifting through user-created LittleBigPlanet levels and seeing the wonderful and weird things that people are making is a great way to spend an afternoon, a week, a month...","2008-11-05 15:00:00","Jeff",5,"http://www.giantbomb.com/reviews/littlebigplanet-review/1900-77/"
"Spider-Man: Web of Shadows","Web of Shadows can get awfully repetitive, but this simple-yet-stylish action game still manages to make being Spider-Man feel awesome.","2008-11-05 20:00:00","Ryan",3,"http://www.giantbomb.com/reviews/spider-man-web-of-shadows-review/1900-78/"
"Quantum of Solace","Quantum of Solace is middle-of-the-road entertainment that has just enough mild highs to balance out against its mild lows.","2008-11-07 17:00:00","Jeff",3,"http://www.giantbomb.com/reviews/quantum-of-solace-review/1900-79/"
"Resistance 2","Resistance 2 ditches the storytelling in favor of an excellent multiplayer experience.","2008-11-10 14:00:00","Vinny",4,"http://www.giantbomb.com/reviews/resistance-2-review/1900-80/"
"Call of Duty: World at War","Call of Duty: World at War is a great first-person shooter, but it's still stuck in the shadow of an even greater one.","2008-11-11 12:00:00","Jeff",4,"http://www.giantbomb.com/reviews/call-of-duty-world-at-war-review/1900-81/"
"MotorStorm: Pacific Rift","Sony fleshes out its chaotic off-road racing series with this rough-and-tumble sequel.","2008-11-10 17:00:00","Ryan",4,"http://www.giantbomb.com/reviews/motorstorm-pacific-rift-review/1900-82/"
"Mirror's Edge","This first-person parkour game stumbles often, but it does it with style.","2008-11-12 12:00:00","Ryan",3,"http://www.giantbomb.com/reviews/mirrors-edge-review/1900-83/"
"Command & Conquer: Red Alert 3","Red Alert 3 is a funny and smart addition to the Command & Conquer universe.","2008-11-14 15:00:00","Jeff",4,"http://www.giantbomb.com/reviews/command-conquer-red-alert-3-review/1900-84/"
"Mortal Kombat vs. DC Universe","Mortal Kombat vs. DC Universe successfully merges the two worlds while also delivering a great new fighting system for the current generation of consoles.","2008-11-17 13:00:00","Jeff",5,"http://www.giantbomb.com/reviews/mortal-kombat-vs-dc-universe-review/1900-85/"
"Left 4 Dead","A shortage of content is the only thing keeping this unique cooperative zombie shooter from eating you alive.","2008-11-18 10:00:00","Ryan",4,"http://www.giantbomb.com/reviews/left-4-dead-review/1900-86/"
"Banjo-Kazooie: Nuts & Bolts","Inventive, hilarious, inexpensive, and tons of fun--that's Nuts & Bolts in a nutshell.","2008-11-19 17:00:00","Brad",5,"http://www.giantbomb.com/reviews/banjo-kazooie-nuts-bolts-review/1900-87/"
"World of Warcraft: Wrath of the Lich King","Wrath of the Lich King provides even more reason to continue playing a four-year-old game.","2008-11-21 17:00:00","Andy",5,"http://www.giantbomb.com/reviews/world-of-warcraft-wrath-of-the-lich-king-review/1900-88/"
"Skate It","Skate It offers three different control schemes, but none of them save the game from its long list of issues.","2008-11-26 13:00:00","Jeff",2,"http://www.giantbomb.com/reviews/skate-it-review/1900-89/"
"Super Street Fighter II Turbo HD Remix","Super Street Fighter II Turbo HD Remix is a top-notch redesign that makes intelligent changes to the gameplay and balance while also offering a perfectly viable online experience.","2008-11-30 14:00:00","Jeff",5,"http://www.giantbomb.com/reviews/super-street-fighter-ii-turbo-hd-remix-review/1900-90/"
"Need for Speed: Undercover","Grave performance issues, a bland narrative, and a condescending level of difficulty burn through most of Need for Speed Undercover's potential for fun.","2008-12-01 21:00:00","Ryan",2,"http://www.giantbomb.com/reviews/need-for-speed-undercover-review/1900-91/"
"You're In the Movies","The core of You're In The Movies is sound, but technology woes and a reliance on repetition really get in the way of the fun.","2008-12-02 21:00:00","Jeff",3,"http://www.giantbomb.com/reviews/youre-in-the-movies-review/1900-92/"
"WWE SmackDown! vs. RAW 2009","SmackDown! vs. RAW 2009 has a lengthy list of features and modes, but none of them truly capture the excitement of watching WWE on television.","2008-12-07 12:00:00","Jeff",2,"http://www.giantbomb.com/reviews/wwe-smackdown-vs-raw-2009-review/1900-93/"
"Prince of Persia","Stunning presentation and an engaging open-world reprisal of the series' trademark platforming action make this newly reimagined Prince of Persia easy to recommend.","2008-12-10 22:00:00","Brad",4,"http://www.giantbomb.com/reviews/prince-of-persia-review/1900-94/"
"Lips","It's too easy to cheat around Lips' poor vocal- and pitch-detecting technology, but if you're willing to look past that, Lips is a satisfying home karaoke game.","2008-12-12 15:00:00","Jeff",3,"http://www.giantbomb.com/reviews/lips-review/1900-95/"
"PowerUp Forever","Despite an actual inability to power-up forever, PowerUp Forever is a good, fun dual-joystick shooter.","2008-12-16 16:00:00","Jeff",3,"http://www.giantbomb.com/reviews/powerup-forever-review/1900-96/"
"Meteos Wars","Meteos Wars has all the pieces it needs to be a great puzzle game, but with no online competition, it's all kind of pointless.","2008-12-23 15:00:00","Jeff",3,"http://www.giantbomb.com/reviews/meteos-wars-review/1900-97/"
"Animal Crossing: City Folk","Animal Crossing: City Folk is a quality product, for sure, but it's also largely the same quality product that has already appeared on the DS and GameCube.","2008-12-29 16:00:00","Jeff",3,"http://www.giantbomb.com/reviews/animal-crossing-city-folk-review/1900-98/"
"Crash Commando","Crash Commando takes the conventions of the modern first-person shooter and puts them into a side-scrolling game, resulting in a fast-moving shooter that successfully merges old and new.","2008-12-31 16:00:00","Jeff",4,"http://www.giantbomb.com/reviews/crash-commando-review/1900-99/"
"Penny Arcade Adventures: On the Rain-Slick Precipice of Darkness - Episode Two","The foul-mouthed humor remains equally well-spoken and vulgar, though the formula is starting to become apparent with Episode Two.","2009-01-07 14:00:00","Ryan",4,"http://www.giantbomb.com/reviews/penny-arcade-adventures-on-the-rain-slick-precipic/1900-100/"
"Interpol: The Trail of Dr. Chaos","Interpol: The Trail of Dr. Chaos is a way more exciting and evocative title than this boring photo-hunt game deserves.","2009-01-09 15:00:00","Ryan",1,"http://www.giantbomb.com/reviews/interpol-the-trail-of-dr-chaos-review/1900-101/"
"Lumines Supernova","If this is your first Lumines game, you'll probably enjoy it. But as the latest in a long line of rudimentary updates, it gets old quick.","2009-01-14 17:00:00","Jeff",3,"http://www.giantbomb.com/reviews/lumines-supernova-review/1900-102/"
"The King of Fighters Collection: The Orochi Saga","If you're after some quality 2D fighting, KOF Collection offers that, but the package comes with some caveats that make it a little unappealing.","2009-01-17 10:00:00","Jeff",3,"http://www.giantbomb.com/reviews/the-king-of-fighters-collection-the-orochi-saga-re/1900-103/"
"The Lord of the Rings: Conquest","Frustrating combat and a half-hearted approach to the source material drag down EA's latest Rings game.","2009-01-26 18:00:00","Brad",2,"http://www.giantbomb.com/reviews/the-lord-of-the-rings-conquest-review/1900-104/"
"Skate 2","Skate 2 makes a load of interesting changes to the structure of the average skateboarding game and includes enough interesting multiplayer options to keep players going for awhile.","2009-01-26 15:00:00","Jeff",4,"http://www.giantbomb.com/reviews/skate-2-review/1900-105/"
"The Maw","The Maw is a brief, yet engrossing, journey that leans more on its charm than its gameplay.","2009-01-29 12:00:00","Vinny",4,"http://www.giantbomb.com/reviews/the-maw-review/1900-106/"
"Afro Samurai","Afro Samurai's exciting and graphic combat is its strongest suit, but that fighting is bogged down by enough issues that make it tough to recommend.","2009-02-02 13:00:00","Jeff",3,"http://www.giantbomb.com/reviews/afro-samurai-review/1900-107/"
"Ninjatown","Equally long on endearing personality and challenging strategy, this stylus-driven tower defense game makes a great travel companion in bite-size chunks.","2009-02-12 17:00:00","Brad",4,"http://www.giantbomb.com/reviews/ninjatown-review/1900-108/"
"R-Type Dimensions","Extravagant production and abusive arcade shooting action combine to nice effect in this Live Arcade remake.","2009-02-09 11:00:00","Brad",4,"http://www.giantbomb.com/reviews/r-type-dimensions-review/1900-109/"
"Flower","The latest PSN release from thatgamecompany is full of incredible floral imagery and a few unexpected twists.","2009-02-11 18:00:00","Brad",5,"http://www.giantbomb.com/reviews/flower-review/1900-110/"
"F.E.A.R. 2: Project Origin","It's less tactical than its forebear, but Monolith delivers a tightly paced and atmospheric ride with F.E.A.R. 2.","2009-02-12 15:00:00","Ryan",4,"http://www.giantbomb.com/reviews/fear-2-project-origin-review/1900-111/"
"Retro Game Challenge","Retro Game Challenge has some awesome concepts behind it, but it gets painfully repetitive in spots, which throws a wet blanket on an otherwise-charming game.","2009-02-13 13:00:00","Jeff",3,"http://www.giantbomb.com/reviews/retro-game-challenge-review/1900-112/"
"Sonic's Ultimate Genesis Collection","For what Sonic's Ultimate Genesis Collection lacks in quality, it at least partially makes up for by its sheer quantity of emulated games.","2009-02-16 13:00:00","Jeff",3,"http://www.giantbomb.com/reviews/sonics-ultimate-genesis-collection-review/1900-113/"
"","Street Fighter IV combines old and new in powerful ways, resulting in a game familiar enough to bring retired fans back into the fold while being different enough to appeal to the players who have stuck with the genre since day one.","2009-07-07 13:00:00","Jeff",5,"http://www.giantbomb.com/reviews/street-fighter-iv-review/1900-114/"
"50 Cent: Blood on the Sand","There are moments of questionable quality sprinkled throughout 50 Cent's latest video game adventure, but if you're looking for something silly and totally over-the-top, Blood on the Sand is actually kind of hilarious.","2009-02-24 08:00:00","Jeff",3,"http://www.giantbomb.com/reviews/50-cent-blood-on-the-sand-review/1900-115/"
"Killzone 2","Killzone 2 offers terrific class-based multiplayer that will keep you coming back long after the campaign is finished.","2009-02-26 17:00:00","Jeff",5,"http://www.giantbomb.com/reviews/killzone-2-review/1900-116/"
"Halo Wars","Ensemble's new Xbox 360 strategy game is heavy on the Halo mythos but occasionally stumbles over its limited control scheme.","2009-03-02 13:00:00","Brad",4,"http://www.giantbomb.com/reviews/halo-wars-review/1900-117/"
"Warhammer 40,000: Dawn of War II","Dawn of War II successfully introduces RPG elements to its single-player campaign and provides a polished, if familiar, online experience that focuses on brisk combat.","2009-03-04 16:00:00","Dave",4,"http://www.giantbomb.com/reviews/warhammer-40000-dawn-of-war-ii-review/1900-118/"
"Tom Clancy's H.A.W.X","Tom Clancy's HAWX changes up the flight combat formula in a couple of interesting ways, but at its core it's a little too basic to hold your attention.","2009-03-09 13:00:00","Jeff",3,"http://www.giantbomb.com/reviews/tom-clancys-hawx-review/1900-119/"
"Empire: Total War","If you can get past some glaring pathfinding and AI issues, Empire: Total War is a game without peer in the strategy genre.","2009-03-11 17:00:00","Dave",4,"http://www.giantbomb.com/reviews/empire-total-war-review/1900-120/"
"Eat Lead: The Return of Matt Hazard","While the game is conceptually interesting, Matt Hazard's ""return"" comes up short in just about every way imaginable.","2009-03-12 12:00:00","Jeff",2,"http://www.giantbomb.com/reviews/eat-lead-the-return-of-matt-hazard-review/1900-121/"
"Peggle","The XBLA version of Peggle is a great way to not do what you were supposed to be doing.","2009-03-12 11:00:00","Vinny",4,"http://www.giantbomb.com/reviews/peggle-review/1900-122/"
"Resident Evil 5","By necessity, Resident Evil 5 makes a smaller impact than its groundbreaking predecessor, but it's still a creepy, fantastic action game in its own right.","2009-03-12 19:00:00","Brad",5,"http://www.giantbomb.com/reviews/resident-evil-5-review/1900-123/"
"MadWorld","While the bloody combat in MadWorld makes a terrific first impression, this is a perfect example of a game that puts style over substance.","2009-03-19 14:00:00","Jeff",3,"http://www.giantbomb.com/reviews/madworld-review/1900-124/"
